County_State_Key,County,State,Population_2023,Median_HH_Income_2023,Store_Count
Huerfano|Colorado,Huerfano,Colorado,6946.0,52139.0,0
Jackson|Colorado,Jackson,Colorado,1422.0,41809.0,0
Jefferson|Colorado,Jefferson,Colorado,579715.0,107800.0,7
Kiowa|Colorado,Kiowa,Colorado,1356.0,56389.0,0
Kit Carson|Colorado,Kit Carson,Colorado,7015.0,59810.0,0
Lake|Colorado,Lake,Colorado,7411.0,93655.0,0
La Plata|Colorado,La Plata,Colorado,56088.0,85296.0,0
Larimer|Colorado,Larimer,Colorado,363561.0,91364.0,3
Las Animas|Colorado,Las Animas,Colorado,14392.0,50408.0,0
Lincoln|Colorado,Lincoln,Colorado,5561.0,54257.0,0
Logan|Colorado,Logan,Colorado,21067.0,55074.0,0
Mesa|Colorado,Mesa,Colorado,157316.0,71485.0,1
Mineral|Colorado,Mineral,Colorado,799.0,52455.0,0
Moffat|Colorado,Moffat,Colorado,13258.0,70975.0,0
Montezuma|Colorado,Montezuma,Colorado,26204.0,63005.0,0
Montrose|Colorado,Montrose,Colorado,43272.0,66072.0,1
Morgan|Colorado,Morgan,Colorado,29186.0,75407.0,0
Otero|Colorado,Otero,Colorado,18460.0,54897.0,0
Ouray|Colorado,Ouray,Colorado,5024.0,84556.0,0
Park|Colorado,Park,Colorado,17739.0,95450.0,0
Phillips|Colorado,Phillips,Colorado,4491.0,60372.0,0
Pitkin|Colorado,Pitkin,Colorado,17119.0,100318.0,0
Prowers|Colorado,Prowers,Colorado,11931.0,57601.0,0
Pueblo|Colorado,Pueblo,Colorado,168726.0,62250.0,1
Rio Blanco|Colorado,Rio Blanco,Colorado,6518.0,72620.0,0
Rio Grande|Colorado,Rio Grande,Colorado,11394.0,62166.0,0
Routt|Colorado,Routt,Colorado,24990.0,104803.0,0
Saguache|Colorado,Saguache,Colorado,6511.0,54283.0,0
San Juan|Colorado,San Juan,Colorado,690.0,73889.0,0
San Miguel|Colorado,San Miguel,Colorado,8026.0,80117.0,0
Sedgwick|Colorado,Sedgwick,Colorado,2346.0,52833.0,0
Summit|Colorado,Summit,Colorado,30857.0,106255.0,1
Teller|Colorado,Teller,Colorado,24774.0,80666.0,0
Washington|Colorado,Washington,Colorado,4839.0,65164.0,0
Weld|Colorado,Weld,Colorado,340711.0,93287.0,1
Yuma|Colorado,Yuma,Colorado,9921.0,60051.0,0
Capitol Planning Region|Connecticut,Capitol Planning Region,Connecticut,969029.0,91541.0,0
Greater Bridgeport Planning Region|Connecticut,Greater Bridgeport Planning Region,Connecticut,326296.0,87135.0,0
Lower Connecticut River Valley Planning Region|Connecticut,Lower Connecticut River Valley Planning Region,Connecticut,174983.0,101117.0,0
Naugatuck Valley Planning Region|Connecticut,Naugatuck Valley Planning Region,Connecticut,452303.0,86365.0,0
Northeastern Connecticut Planning Region|Connecticut,Northeastern Connecticut Planning Region,Connecticut,95829.0,87564.0,0
Northwest Hills Planning Region|Connecticut,Northwest Hills Planning Region,Connecticut,112848.0,91035.0,0
South Central Connecticut Planning Region|Connecticut,South Central Connecticut Planning Region,Connecticut,566803.0,86266.0,0
Southeastern Connecticut Planning Region|Connecticut,Southeastern Connecticut Planning Region,Connecticut,279025.0,84185.0,0
Western Connecticut Planning Region|Connecticut,Western Connecticut Planning Region,Connecticut,621232.0,124553.0,0
Kent|Delaware,Kent,Delaware,185043.0,72872.0,1
New Castle|Delaware,New Castle,Delaware,573030.0,89901.0,2
Sussex|Delaware,Sussex,Delaware,247799.0,78162.0,0
District Of Columbia|District Of Columbia,District Of Columbia,District Of Columbia,672079.0,106287.0,1
Alachua|Florida,Alachua,Florida,281751.0,59659.0,2
Baker|Florida,Baker,Florida,28186.0,70833.0,0
Bay|Florida,Bay,Florida,181368.0,70188.0,2
Bradford|Florida,Bradford,Florida,27888.0,59740.0,0
Brevard|Florida,Brevard,Florida,620533.0,75817.0,5
